example_id,reply_id,brand,conversation_id,customer_message,text,historical_brand_reply,conversation_context,created_at,split_group,split,intent,ambiguity,label_source,action
1803,1801,Uber_Support,1801,Bruh can someone at [USER] [USER] get back to me on my Dms 😒😒😒😒,bruh can someone at get back to me on my dms 😒😒😒😒,[USER] Here to help! Send us a note via [URL] so our team can connect.,,Tue Oct 31 22:19:10 +0000 2017,11,train,other_general_feedback,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
1802,1804,Uber_Support,1801,"[USER] I already dm y'all about 30 mins ago, check it out it is long and detailed.","i already dm y'all about 30 mins ago, check it out it is long and detailed.",[USER] We're currently reviewing your email and will be in touch shortly. We appreciate your patience!,customer: Bruh can someone at [USER] [USER] get back to me on my Dms 😒😒😒😒 | support: [USER] Here to help! Send us a note via [URL] so our team can connect.,Tue Oct 31 22:38:15 +0000 2017,11,train,other_general_feedback,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
1809,1808,Uber_Support,1808,[USER] i do not see we're the trid if is listed on the app.. i sent in a few message,i do not see we're the trid if is listed on the app.. i sent in a few message,[USER] Please DM us with your account email address and phone number so we can look into this. [URL],customer: [USER] worst most unprofessional driver ever !! asked for extra fee when he showed up ! yelling at me cause uber don't pay for his 30k car??? [URL] | support: [USER] Sorry to hear this was your experience! Please send us a note at [URL] so we can connect right away.,Tue Oct 31 22:01:31 +0000 2017,14,train,other_general_feedback,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
1812,1810,Uber_Support,1808,[USER] worst most unprofessional driver ever !! asked for extra fee when he showed up ! yelling at me cause uber don't pay for his 30k car??? [URL],worst most unprofessional driver ever !! asked for extra fee when he showed up ! yelling at me cause uber don't pay for his 30k car???,[USER] Sorry to hear this was your experience! Please send us a note at [URL] so we can connect right away.,,Tue Oct 31 21:50:15 +0000 2017,14,train,safety_and_conduct,False,keyword_bootstrap_NOT_HUMAN,ESCALATE
1866,1864,Uber_Support,1864,[USER] I have submitted complain against over charging but still not response from uber support!!!!,i have submitted complain against over charging but still not response from uber support!!!!,[USER] Here to help! Please DM (direct message) us your email address so we can follow up. Thanks!,,Fri Dec 01 06:44:23 +0000 2017,16,train,other_general_feedback,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
2098,2096,Uber_Support,2096,kya khassi support hai yaar [USER]. i am an uber rider not driver. they are telling me to take docs to nearby uber office for verification and all i was asked was to update my cellphone number 👺👺,kya khassi support hai yaar . i am an uber rider not driver. they are telling me to take docs to nearby uber office for verification and all i was asked was to update my cellphone number 👺👺,[USER] Happy to further assist you. Can you please send us a DM with your email address and additional details so we can follow up?,,Fri Dec 01 06:40:48 +0000 2017,17,train,other_general_feedback,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
2097,2099,Uber_Support,2096,[USER] done please check,done please check,"[USER] Hi, Singh. Please send us a DM with your account email address and phone number so we can locate your account. Thanks for your patience.",customer: kya khassi support hai yaar [USER]. i am an uber rider not driver. they are telling me to take docs to nearby uber office for verification and all i was asked was to update my cellphone number 👺👺 | support: [USER] Happy to further assist you. Can you please send us a DM with your email address and additional details so we can follow up?,Fri Dec 01 06:50:57 +0000 2017,17,train,other_general_feedback,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
2125,2124,Uber_Support,2124,"[USER] After contacting you concerning deactivation of my account, it was reactivated but after 48 hrs, ,it has been been deactivated. Please help","after contacting you concerning deactivation of my account, it was reactivated but after 48 hrs, ,it has been been deactivated. please help",[USER] Hello! Thanks for your patience. Please check your DM ( direct messages) for our reply.,,Fri Dec 01 04:25:43 +0000 2017,19,train,app_and_account_access,False,keyword_bootstrap_NOT_HUMAN,AUTO_HANDLE
2156,2153,Uber_Support,2153,[USER] do you also support ubereats singapore? im reaching out here bec the support there is useless. any chance you could help?,do you also support ubereats singapore? im reaching out here bec the support there is useless. any chance you could help?,[USER] We're here to help! Send us a DM with your email address and more details so we can follow up.,,Fri Dec 01 06:38:56 +0000 2017,20,train,promotions_and_ubereats,False,keyword_bootstrap_NOT_HUMAN,AUTO_HANDLE
2404,2402,Uber_Support,2402,When I open the GPS map on UberEATS and see that my driver has turned down the wrong street: [URL],when i open the gps map on ubereats and see that my driver has turned down the wrong street:,[USER] Here to help. Send us a note at [URL] so our team can connect.,,Wed Nov 01 02:31:19 +0000 2017,21,train,pickup_routing_issue,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
2408,2407,Uber_Support,2407,"[USER] dealing with a driver who is literally incompetent and just swore down the phone, i hope this isn’t what ubereats stands for?","dealing with a driver who is literally incompetent and just swore down the phone, i hope this isn’t what ubereats stands for?",[USER] We're so sorry for the trouble. Send us a note via [URL] so we can assist.,,Sun Nov 26 00:24:54 +0000 2017,23,train,lost_and_found,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
2410,2409,Uber_Support,2409,.[USER] I️t took our driver over 5 minutes to start moving for our ride. We have a flight to catch. If they can’t do the ride then they shouldn’t accept I️t. #CustomerService,. i️t took our driver over 5 minutes to start moving for our ride. we have a flight to catch. if they can’t do the ride then they shouldn’t accept i️t. #customerservice,[USER] Here to help! Send us a note here [URL] so we can assist.,,Sun Nov 26 00:24:29 +0000 2017,24,train,other_general_feedback,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
2414,2413,Uber_Support,2413,Ugh! [USER] is there a reason you disabled my ability to respond to a complaint you guys asked me to resend information to?,ugh! is there a reason you disabled my ability to respond to a complaint you guys asked me to resend information to?,[USER] We've been in touch via DM!,,Sun Nov 26 00:01:10 +0000 2017,26,train,other_general_feedback,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
2418,2416,Uber_Support,2416,Hey [USER] my scheduled ride canceled on me when he was 1 minute away. If I cancel I pay $5. I need a $5 credit.,hey my scheduled ride canceled on me when he was 1 minute away. if i cancel i pay $5. i need a $5 credit.,[USER] Here to help! Follow up here; [URL] and our team will connect right away.,,Sun Nov 26 00:17:39 +0000 2017,27,train,promotions_and_ubereats,False,keyword_bootstrap_NOT_HUMAN,AUTO_HANDLE
2417,2419,Uber_Support,2416,[USER] I submitted an online request and expect a cancellation credit to my account as I would of had to pay. Thank you!,i submitted an online request and expect a cancellation credit to my account as i would of had to pay. thank you!,[USER] Here to help! Send us a DM with your email address so we can assist.,customer: Hey [USER] my scheduled ride canceled on me when he was 1 minute away. If I cancel I pay $5. I need a $5 credit. | support: [USER] Here to help! Follow up here; [URL] and our team will connect right away.,Sun Nov 26 01:07:05 +0000 2017,27,train,app_and_account_access,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
2423,2421,Uber_Support,2421,[USER] just made a $35 ubereats order from [USER] and did not receive my burrito. Who should I contact?,just made a $35 ubereats order from and did not receive my burrito. who should i contact?,[USER] We can definitely take a look! Send us a note via [URL] so we can assist.,,Sun Nov 26 00:19:51 +0000 2017,29,train,promotions_and_ubereats,False,keyword_bootstrap_NOT_HUMAN,AUTO_HANDLE
2422,2424,Uber_Support,2421,[USER] Thank you for your response. Put in a request and am waiting for reply!,thank you for your response. put in a request and am waiting for reply!,[USER] We're here to help! Send us a DM with your email address so we can follow up.,customer: [USER] just made a $35 ubereats order from [USER] and did not receive my burrito. Who should I contact? | support: [USER] We can definitely take a look! Send us a note via [URL] so we can assist.,Sun Nov 26 00:47:30 +0000 2017,29,train,other_general_feedback,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
2426,2425,Uber_Support,2425,[USER] Or even reply.,or even reply.,"[USER] We're following up with you via DM, be on the look out for our response.",customer: [USER] your drivers are now officially worse than the auto walas. And you sit there and refuse to listen.,Sun Nov 26 00:11:26 +0000 2017,31,train,other_general_feedback,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
2432,2430,Uber_Support,2430,.[USER]’s surge pricing is ridiculous. I literally just ordered the exact same food from [USER] on [USER] for $13 less. 🙄,. ’s surge pricing is ridiculous. i literally just ordered the exact same food from on for $13 less. 🙄,[USER] The busy area fee helps us maintain the reliability & speed of our service. You can try again later when there may be less demand.,,Sun Nov 26 00:12:04 +0000 2017,33,train,promotions_and_ubereats,False,keyword_bootstrap_NOT_HUMAN,AUTO_HANDLE
2434,2433,Uber_Support,2433,"[USER] Is there a way I can address a specific issue? Though i already received compensation for that ride i reported, I'd like to mention it would've been avoided if the route to my location was plotted correctly. The map told him to pass through a route that had a dead end","is there a way i can address a specific issue? though i already received compensation for that ride i reported, i'd like to mention it would've been avoided if the route to my location was plotted correctly. the map told him to pass through a route that had a dead end","[USER] We're here to help! Send us a note here, [URL] and our team will be in touch.",customer: Hi [USER] I have a problem with a cancellation fee I was charged but the case fits none of the options. How can I report i this? | support: [USER] Here to help. Send us a note at [URL] so our team can connect.,Sun Nov 26 00:11:26 +0000 2017,34,train,pickup_routing_issue,False,keyword_bootstrap_NOT_HUMAN,AUTO_HANDLE
2436,2435,Uber_Support,2433,Hi [USER] I have a problem with a cancellation fee I was charged but the case fits none of the options. How can I report i this?,hi i have a problem with a cancellation fee i was charged but the case fits none of the options. how can i report i this?,[USER] Here to help. Send us a note at [URL] so our team can connect.,,Fri Nov 24 23:12:52 +0000 2017,34,train,cancellation_fee,False,keyword_bootstrap_NOT_HUMAN,ESCALATE
2438,2437,Uber_Support,2437,"[USER] awful customer service, why bother trying to contact the head office?","awful customer service, why bother trying to contact the head office?","[USER] Hi, Jenny! Kindly send us details regarding your concern so our team can assist.",,Sun Nov 26 00:13:30 +0000 2017,36,train,other_general_feedback,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
2441,2439,Uber_Support,2439,[USER] i’m only a few months away from 21. let me drive anyway,i’m only a few months away from 21. let me drive anyway,[USER] Here to help! For more info please visit;[URL],,Sun Nov 26 00:12:27 +0000 2017,37,train,other_general_feedback,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
2440,2442,Uber_Support,2439,"[USER] i’m already registered as a driver, lower the age requirement or let me bypass the rule please","i’m already registered as a driver, lower the age requirement or let me bypass the rule please",[USER] Here to help! Contact us here; [URL] so we can take a closer look.,customer: [USER] i’m only a few months away from 21. let me drive anyway | support: [USER] Here to help! For more info please visit;[URL],Sun Nov 26 00:27:31 +0000 2017,37,train,other_general_feedback,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
2443,2444,Uber_Support,2439,[USER] i’m 4 months away from being 21 and have driving experience including delivery. i feel i should be able to drive now instead of waiting to be 21,i’m 4 months away from being 21 and have driving experience including delivery. i feel i should be able to drive now instead of waiting to be 21,[USER] Hi! Please visit [URL] for more information.,"customer: [USER] i’m only a few months away from 21. let me drive anyway | support: [USER] Here to help! For more info please visit;[URL] | customer: [USER] i’m already registered as a driver, lower the age requirement or let me bypass the rule please | support: [USER] Here to help! Contact us here; [URL] so we can take a closer look.",Sun Nov 26 00:44:53 +0000 2017,37,train,promotions_and_ubereats,False,keyword_bootstrap_NOT_HUMAN,AUTO_HANDLE
2455,2454,Uber_Support,2454,An uber driver 1)let me drive 2)started petting my hair as I drive 3)hugged me goodbye and 4)proceeded to touch my ass dyring said weird ass hug [USER] get ur shit together,an uber driver 1)let me drive 2)started petting my hair as i drive 3)hugged me goodbye and 4)proceeded to touch my ass dyring said weird ass hug get ur shit together,[USER] We're here to help. Send us a DM with your email address so we can assist.,,Sun Nov 26 00:05:53 +0000 2017,44,train,other_general_feedback,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
2463,2462,Uber_Support,2462,"For those of you who saw my insta story earlier today, I am safe. I got into a car accident while riding in my [USER] and am currently being checked out in the ER. Moments like this make me realize how quickly things in life can change and how lucky I am to be here. I thank God.","for those of you who saw my insta story earlier today, i am safe. i got into a car accident while riding in my and am currently being checked out in the er. moments like this make me realize how quickly things in life can change and how lucky i am to be here. i thank god.",[USER] We absolutely want to follow up right away. Please send us a DM with your email address so we can connect.,,Sun Nov 26 00:01:09 +0000 2017,48,train,safety_and_conduct,False,keyword_bootstrap_NOT_HUMAN,ESCALATE
2467,2466,Uber_Support,2466,[USER] Minimum fare rides lose money. Fix it.,minimum fare rides lose money. fix it.,[USER] We can definitely take a look! Send us a DM with your email address so we can follow up.,,Sun Nov 26 00:02:26 +0000 2017,50,train,fare_dispute_overcharge,False,keyword_bootstrap_NOT_HUMAN,ESCALATE
2469,2468,Uber_Support,2468,[USER] Already did weeks ago. Been answered to reboot/reinstall.,already did weeks ago. been answered to reboot/reinstall.,[USER] Happy to help! Please confirm your email address or phone number through direct message (DM) so our team can assist you further.,customer: [USER] since the ParisGamesWeek your system dosnt work by paypal. F*** it i'm taking taxis. | support: [USER] Here to help. Send us a note at [URL] so our team can connect. | customer: [USER] Well paypal payment not working since the start of the week. | support: [USER] Here to help! Send us a DM with your email address so we can assist.,Sun Nov 26 00:00:07 +0000 2017,51,train,other_general_feedback,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
2471,2470,Uber_Support,2468,[USER] Well paypal payment not working since the start of the week.,well paypal payment not working since the start of the week.,[USER] Here to help! Send us a DM with your email address so we can assist.,customer: [USER] since the ParisGamesWeek your system dosnt work by paypal. F*** it i'm taking taxis. | support: [USER] Here to help. Send us a note at [URL] so our team can connect.,Sat Nov 25 02:56:26 +0000 2017,51,train,other_general_feedback,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
2474,2472,Uber_Support,2468,[USER] since the ParisGamesWeek your system dosnt work by paypal. F*** it i'm taking taxis.,since the parisgamesweek your system dosnt work by paypal. f*** it i'm taking taxis.,[USER] Here to help. Send us a note at [URL] so our team can connect.,,Sat Nov 25 02:49:59 +0000 2017,51,train,other_general_feedback,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
2476,2475,Uber_Support,2475,[USER] I already tried this. It failed.,i already tried this. it failed.,[USER] We're here to help! Send us a DM with your email address so we can follow up.,customer: When your [USER] driver accuses you of stealing his “hustle” money from his cup holder but then finds it under his seat and was rude and disrespectful & denies you a refund... | support: [USER] Here to help! Send us a note at [URL] so our team can connect.,Sat Nov 25 23:59:37 +0000 2017,54,train,other_general_feedback,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
2478,2477,Uber_Support,2475,When your [USER] driver accuses you of stealing his “hustle” money from his cup holder but then finds it under his seat and was rude and disrespectful & denies you a refund...,when your driver accuses you of stealing his “hustle” money from his cup holder but then finds it under his seat and was rude and disrespectful & denies you a refund...,[USER] Here to help! Send us a note at [URL] so our team can connect.,,Sat Nov 25 23:21:05 +0000 2017,54,train,fare_dispute_overcharge,False,keyword_bootstrap_NOT_HUMAN,ESCALATE
2480,2479,Uber_Support,2479,[USER] Tell me why I've called support four times and been on hold for ages every time .. If no one answers what's the point of having a support number,tell me why i've called support four times and been on hold for ages every time .. if no one answers what's the point of having a support number,[USER] We're here to help. Can you please send us a DM with your email address so we can look into this?,,Sat Nov 25 23:56:03 +0000 2017,56,train,other_general_feedback,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
2494,2493,Uber_Support,2493,"[USER] AND NOW, I CAN'T EVEN REORDER BECAUSE THE RESTAURANT IS CLOSED!!!!!!!!!!!!!!!!!!!!!!!!!! UBER EATS UBER SUCKS.","and now, i can't even reorder because the restaurant is closed!!!!!!!!!!!!!!!!!!!!!!!!!! uber eats uber sucks.",[USER] So sorry to hear this. Please send us a DM with your email address so we can help.,,Wed Nov 01 02:40:51 +0000 2017,57,train,promotions_and_ubereats,False,keyword_bootstrap_NOT_HUMAN,AUTO_HANDLE
2714,2713,Uber_Support,2713,[USER] I Dm'ed you!,i dm'ed you!,[USER] Thank you for following up. A member of our team will be in touch shortly through DM.,"customer: [USER] I need help with my Account, It gets disabled every time I try to login and it's getting really frustrating!😬😠 | support: [USER] It seems a member of our team has reached out to you. Please check your email and follow up with them there.",Wed Nov 01 02:26:52 +0000 2017,58,train,other_general_feedback,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
2717,2715,Uber_Support,2713,"[USER] I need help with my Account, It gets disabled every time I try to login and it's getting really frustrating!😬😠","i need help with my account, it gets disabled every time i try to login and it's getting really frustrating!😬😠",[USER] It seems a member of our team has reached out to you. Please check your email and follow up with them there.,,Wed Nov 01 01:18:59 +0000 2017,58,train,app_and_account_access,False,keyword_bootstrap_NOT_HUMAN,AUTO_HANDLE
2720,2718,Uber_Support,2718,[USER] Just did,just did,[USER] We have received your DM and will follow up there.,"customer: Hi [USER] this is an inadequate response to me telling you I had to throw away the entire £18 order. If eat in, would’ve been sent back [URL] | support: [USER] We're here to help! Send us a DM with your email address so we can connect.",Mon Oct 30 23:23:07 +0000 2017,60,train,other_general_feedback,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
2719,2721,Uber_Support,2718,[USER] [USER] you haven’t “reached out”. Please refund the cost of the inedible food without delay,you haven’t “reached out”. please refund the cost of the inedible food without delay,[USER] We've folllwed up via DM.,"customer: Hi [USER] this is an inadequate response to me telling you I had to throw away the entire £18 order. If eat in, would’ve been sent back [URL] | support: [USER] We're here to help! Send us a DM with your email address so we can connect. | customer: [USER] Just did | support: [USER] We have received your DM and will follow up there.",Thu Nov 02 12:25:46 +0000 2017,60,train,fare_dispute_overcharge,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
2724,2722,Uber_Support,2718,"Hi [USER] this is an inadequate response to me telling you I had to throw away the entire £18 order. If eat in, would’ve been sent back [URL]","hi this is an inadequate response to me telling you i had to throw away the entire £18 order. if eat in, would’ve been sent back",[USER] We're here to help! Send us a DM with your email address so we can connect.,,Mon Oct 30 22:43:04 +0000 2017,60,train,promotions_and_ubereats,False,keyword_bootstrap_NOT_HUMAN,AUTO_HANDLE
2726,2725,Uber_Support,2725,[USER] I ordered food through uber eats. I did not get the delivery. Please contact me.,i ordered food through uber eats. i did not get the delivery. please contact me.,[USER] Here to help! Send us a note at [URL] so our team can connect.,,Tue Oct 31 22:24:15 +0000 2017,63,train,promotions_and_ubereats,False,keyword_bootstrap_NOT_HUMAN,AUTO_HANDLE
2728,2727,Uber_Support,2727,"Hey, all, this guy picked my cousin up in Pittsburgh on Friday for [USER] and tried sexually assaulting her. His name is Feruzbek. [URL]","hey, all, this guy picked my cousin up in pittsburgh on friday for and tried sexually assaulting her. his name is feruzbek.",[USER] We take this very seriously. Please send us a DM with your email address so we can connect ASAP.,,Tue Oct 31 22:19:35 +0000 2017,64,train,safety_and_conduct,False,keyword_bootstrap_NOT_HUMAN,ESCALATE
3161,3160,Uber_Support,3160,[USER] Already spoke with you guys through the app. Wasn't helpful.,already spoke with you guys through the app. wasn't helpful.,[USER] Thanks for following up. Please confirm your email address or phone number through direct message so we can further assist.,"customer: Uber driver drove me to wrong location, makes me get out anyway and [USER] won't provide a proper refund 🙃🙃🙃 #Delete #Fail Sup [USER] 😘😘😘 | support: [USER] Happy to further assist you. Can you please send us a DM with your email address and additional details so we can follow up?",Fri Dec 01 06:27:15 +0000 2017,68,train,other_general_feedback,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
3163,3162,Uber_Support,3160,"Uber driver drove me to wrong location, makes me get out anyway and [USER] won't provide a proper refund 🙃🙃🙃 #Delete #Fail Sup [USER] 😘😘😘","uber driver drove me to wrong location, makes me get out anyway and won't provide a proper refund 🙃🙃🙃 #delete #fail sup 😘😘😘",[USER] Happy to further assist you. Can you please send us a DM with your email address and additional details so we can follow up?,,Fri Dec 01 06:10:17 +0000 2017,68,train,fare_dispute_overcharge,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
3640,3639,Uber_Support,3639,So upset with ubereats! No one will get back to ME!! [USER] [USER] [USER],so upset with ubereats! no one will get back to me!!,[USER] Here to help. Send us a note at [URL] so our team can connect.,,Wed Nov 01 02:37:14 +0000 2017,70,train,promotions_and_ubereats,False,keyword_bootstrap_NOT_HUMAN,AUTO_HANDLE
3717,3716,Uber_Support,3716,"#uber : how funny when Uber Ask you to add even 10/- incase of low balance, and then deduct 50/- for their driver cancelling the ride.😡😡😡","#uber : how funny when uber ask you to add even 10/- incase of low balance, and then deduct 50/- for their driver cancelling the ride.😡😡😡",[USER] Here to help! Connect with us through [URL] and we'll be in touch.,,Wed Nov 01 02:21:10 +0000 2017,71,train,cancellation_fee,False,keyword_bootstrap_NOT_HUMAN,ESCALATE
3719,3718,Uber_Support,3718,[USER] Are you going to email me or not,are you going to email me or not,"[USER] We've replied via DM, please follow up there.",customer: [USER] my driver crashed and I hit my head happy Halloween | support: [USER] We hope everyone is ok. Please DM us your email address so we can follow up immediately.,Wed Nov 01 02:59:58 +0000 2017,72,train,other_general_feedback,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
3721,3720,Uber_Support,3718,[USER] my driver crashed and I hit my head happy Halloween,my driver crashed and i hit my head happy halloween,[USER] We hope everyone is ok. Please DM us your email address so we can follow up immediately.,,Wed Nov 01 00:59:21 +0000 2017,72,train,other_general_feedback,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
3802,3798,Uber_Support,3798,[USER] WTF??? Trying to book & it just says Oops. Trying to get help & nothing is working. HELP!!! I need to book urgently #uberdrama,wtf??? trying to book & it just says oops. trying to get help & nothing is working. help!!! i need to book urgently #uberdrama,"[USER] Hi, we're here to help. Please DM us the email linked to your Uber account so we can look into this for you.",,Tue Oct 31 23:08:14 +0000 2017,74,train,other_general_feedback,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
3801,3803,Uber_Support,3798,[USER] Hello??? What's going on????,hello??? what's going on????,[USER] We're here to help. We just sent you a DM.,"customer: [USER] WTF??? Trying to book & it just says Oops. Trying to get help & nothing is working. HELP!!! I need to book urgently #uberdrama | support: [USER] Hi, we're here to help. Please DM us the email linked to your Uber account so we can look into this for you.",Wed Nov 01 00:05:29 +0000 2017,74,train,other_general_feedback,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
3805,3804,Uber_Support,3804,"[USER] why charge higher than the rate range when I order? Ordered uberblack in Geneva for a 5-min ride. Range was Ch19 -24, charged Ch32.38.","why charge higher than the rate range when i order? ordered uberblack in geneva for a 5-min ride. range was ch19 -24, charged ch32.38.","[USER] Here to help. For more info regarding your concern, please visit: [URL]",,Tue Oct 31 22:26:48 +0000 2017,76,train,promotions_and_ubereats,False,keyword_bootstrap_NOT_HUMAN,AUTO_HANDLE
3809,3808,Uber_Support,3808,[USER] one of your drivers just started my ride without picking me up,one of your drivers just started my ride without picking me up,[USER] Here to help. Send us a note at [URL] so our team can connect.,,Tue Oct 31 22:25:24 +0000 2017,78,train,other_general_feedback,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
3811,3810,Uber_Support,3810,"[USER] help! My vehicle registration expires today. I paid my license dept last week but have not received it in the mail, to upload.","help! my vehicle registration expires today. i paid my license dept last week but have not received it in the mail, to upload.","[USER] We're here to help! Send us a note here, [URL] and our team will be in touch.",,Tue Oct 31 22:27:09 +0000 2017,79,train,other_general_feedback,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
3813,3812,Uber_Support,3812,"[USER] ordered a car, took longer than the suggested 6 mins, then you wanted to charge me a £5 cancellation fee. You’re having a bubble bath!","ordered a car, took longer than the suggested 6 mins, then you wanted to charge me a £5 cancellation fee. you’re having a bubble bath!",[USER] Here to help! Send us a note here; [URL] and our team will be able to assist!,,Tue Oct 31 22:41:13 +0000 2017,80,train,cancellation_fee,False,keyword_bootstrap_NOT_HUMAN,ESCALATE
3815,3814,Uber_Support,3814,Wtf just happened. [USER] how do i complain abott a driver who canceled on me due to discriminatory and racist judgements.#uber,wtf just happened. how do i complain abott a driver who canceled on me due to discriminatory and racist judgements.#uber,[USER] We take this very seriously. Please send us a DM with your email address so we can connect ASAP.,,Tue Oct 31 22:26:59 +0000 2017,81,train,other_general_feedback,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
